gen_model,fit_model,sim_idx,gen_idx,loo_elpd,rhat_max,ess_min
win stay lose shift,optimal policy values,15,0,-6945.6378886763705,1.0193668724161555,423.55836045446665
win stay lose shift,win stay lose shift,16,0,-6649.455903874352,1.0106160152476296,264.90080913460736
win stay lose shift,** wait when safe,16,0,-6802.829222946904,1.0089555619868542,567.7378576539161
win stay lose shift,** binary energy state,16,0,-6804.956890511061,1.0176883338457416,166.36081594088247
win stay lose shift,weather type,16,0,-6810.743116753258,1.0061323879857629,323.4862943238266
win stay lose shift,* $\mathit{r}$ predator,16,0,-6810.444057375977,1.0253304773817702,246.28368603703137
win stay lose shift,* $\mathit{p}$ gain,16,0,-6810.2799022325835,1.020388185662346,337.40896344177975
win stay lose shift,expected gain naive,16,0,-6807.795286734709,1.0160232273779746,260.8365392358983
win stay lose shift,marginal value,16,0,-6807.734950498561,1.018387864120263,336.2928343928923
win stay lose shift,multi-heuristic policy,16,0,-6807.149728810911,1.0113328807556132,501.0568776378
win stay lose shift,optimal policy values,16,0,-6805.558014886787,1.0109742922455218,224.44849465603406
win stay lose shift,win stay lose shift,17,0,-6606.101473187182,1.0075552554000402,461.5121965722356
win stay lose shift,** wait when safe,17,0,-6806.700287622751,1.0066709857571174,455.82891157763424
win stay lose shift,** binary energy state,17,0,-6805.992037855918,1.0196176422726884,236.74166283038497
win stay lose shift,weather type,17,0,-6807.219363681347,1.0356065275523778,295.72992256629124
win stay lose shift,* $\mathit{r}$ predator,17,0,-6808.675803047169,1.0178089193213318,246.70503320074747
win stay lose shift,* $\mathit{p}$ gain,17,0,-6808.875859580072,1.0168820498216102,312.82196144505866
win stay lose shift,expected gain naive,17,0,-6808.663850126472,1.0033550246105736,302.4253705182189
win stay lose shift,marginal value,17,0,-6808.955033484297,1.022007841849058,244.1206451017211
win stay lose shift,multi-heuristic policy,17,0,-6808.389976096195,1.0083004783626237,466.4604938485771
win stay lose shift,optimal policy values,17,0,-6806.338101313551,1.0184680839174687,172.80639892583736
win stay lose shift,win stay lose shift,18,0,-6625.42276236868,1.0073555278139033,359.93875313638983
win stay lose shift,** wait when safe,18,0,-6782.729283678296,1.0122106675199158,400.38859575930485
win stay lose shift,** binary energy state,18,0,-6784.138902287566,1.0231546354524284,281.5061316773603
win stay lose shift,weather type,18,0,-6786.17855123675,1.0603165289596843,100.65165994531768
win stay lose shift,* $\mathit{r}$ predator,18,0,-6785.2721995316115,1.008950230452694,241.89688641432386
win stay lose shift,* $\mathit{p}$ gain,18,0,-6786.2661641114955,1.011107933444658,232.57379228950072
win stay lose shift,expected gain naive,18,0,-6786.897261756549,1.0228693304478693,208.13073238925756
win stay lose shift,marginal value,18,0,-6786.3200435026665,1.0185271475357343,270.19553241137373
win stay lose shift,multi-heuristic policy,18,0,-6788.30202345589,1.0103215529078233,373.3548831210355
win stay lose shift,optimal policy values,18,0,-6785.236858114169,1.0161712052662573,236.51741746830012
win stay lose shift,win stay lose shift,19,0,-5981.827025867642,1.0123648434811285,372.5078547968715
win stay lose shift,** wait when safe,19,0,-6528.826897803147,1.004734639835288,548.1734349027205
win stay lose shift,** binary energy state,19,0,-6520.623280927685,1.0062943776217927,271.44863075506555
win stay lose shift,weather type,19,0,-6543.464367029603,1.0101583817182862,194.8868024915776
win stay lose shift,* $\mathit{r}$ predator,19,0,-6543.574987066671,1.0167916822103713,262.94687815443626
win stay lose shift,* $\mathit{p}$ gain,19,0,-6540.791770211385,1.0111611684538622,292.2124028747036
