foraenv1,foraenv1,foraenv1,foraenv1,foraenv1,foraenv1,foraenv1,foraenv2,foraenv2,foraenv2,foraenv2,foraenv2,foraenv2,foraenv2,waitenv1,waitenv1,waitenv1,waitenv1,waitenv1,waitenv1,waitenv1,waitenv2,waitenv2,waitenv2,waitenv2,waitenv2,waitenv2,waitenv2
-1.0,-0.625,-0.625,-0.25,0.0,0.0,0.0,-1.0,-0.8400000000000001,-0.8400000000000001,-0.2,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
-1.0,-0.625,-0.625,-0.5246875,-0.183125,0.0,0.0,-1.0,-0.8400000000000001,-0.8400000000000001,-0.6688000000000001,-0.14650000000000002,0.0,0.0,-1.0,-1.0,-0.7325,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.7325,0.0,0.0,0.0,0.0
-1.0,-0.87953125,-0.625,-0.5246875,-0.43765625,-0.1696875,0.0,-1.0,-0.9486000000000001,-0.8400000000000001,-0.6688000000000001,-0.5809000000000001,-0.13575,0.0,-1.0,-1.0,-0.7325,-0.67875,0.0,0.0,0.0,-1.0,-1.0,-0.7325,-0.67875,0.0,0.0,0.0
-1.0,-0.87953125,-0.84877890625,-0.592774609375,-0.48304765625,-0.39346640625,-0.1491859375,-1.0,-0.9486000000000001,-0.9354790000000001,-0.7850020000000001,-0.6172131250000001,-0.5176660000000001,-0.11934875,-1.0,-1.0,-0.9140656250000001,-0.67875,-0.59674375,0.0,0.0,-1.0,-1.0,-0.9140656250000001,-0.67875,-0.59674375,0.0,0.0
-1.0,-0.955533349609375,-0.8634108642578124,-0.795235498046875,-0.559049755859375,-0.45876643066406253,-0.36140146484375,-1.0,-0.9810275625000001,-0.94172196875,-0.8713853125000001,-0.7469233750000002,-0.5831723281250001,-0.4726857109375001,-1.0,-1.0,-0.9140656250000001,-0.881422265625,-0.6357623046875001,-0.539895703125,0.0,-1.0,-1.0,-0.9140656250000001,-0.881422265625,-0.6357623046875001,-0.539895703125,0.0
-1.0,-0.9582768417358398,-0.9374914019775391,-0.8371324323730469,-0.762596105834961,-0.5346759631347657,-0.43235486267089845,-1.0,-0.982198119140625,-0.97332966484375,-0.9152844567187501,-0.8423415384765627,-0.7110663083007813,-0.5490019404296876,-1.0,-1.0,-0.9682804560546876,-0.8887382446289063,-0.8333104052734375,-0.5974060302734375,-0.4993310668945313,-1.0,-1.0,-0.9682804560546876,-0.8887382446289063,-0.8333104052734375,-0.5974060302734375,-0.4993310668945313
-1.0,-0.9823322233810425,-0.9486007519378662,-0.9130715259971619,-0.8121569672546387,-0.7365133459854127,-0.6896574172515869,-1.0,-0.9924617486425782,-0.9780696541601563,-0.9486245083691408,-0.8944610501306154,-0.8173906768090823,-0.7578120256201173,-1.0,-1.0,-0.9702374804382324,-0.9528859290161134,-0.8629353385009766,-0.7979532555541993,-0.5660409967041016,-1.0,-1.0,-0.9702374804382324,-0.9528859290161134,-0.8629353385009766,-0.7979532555541993,-0.5660409967041016
-1.0,-0.9847821685705185,-0.9740680064436817,-0.9343536770836067,-0.8943439028621484,-0.8011881592547322,-0.7590571853890038,-1.0,-0.993507058590088,-0.9889356827493043,-0.9659414555080079,-0.9342649596858827,-0.8781931137074831,-0.8127657007510836,-1.0,-1.0,-0.9873969860118104,-0.9594191161880493,-0.9308480171831514,-0.8375461528778076,-0.767233300769806,-1.0,-1.0,-0.9873969860118104,-0.9594191161880493,-0.9308480171831514,-0.8375461528778076,-0.767233300769806
-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.0,-0.52,-0.52,-0.2,0.0,0.0,0.0,-1.0,-0.7037037037037037,-0.7037037037037037,-0.1111111111111111,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0
-1.0,-0.52,-0.52,-0.3957925925925926,-0.12237037037037038,0.0,0.0,-1.0,-0.7037037037037037,-0.7037037037037037,-0.47368998628257897,-0.0679835390946502,0.0,0.0,-1.0,-1.0,-0.6118518518518519,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.6118518518518519,0.0,0.0,0.0,0.0
-1.0,-0.7916444444444445,-0.52,-0.3957925925925926,-0.3034666666666668,-0.1131851851851852,0.0,-1.0,-0.8713854595336077,-0.7037037037037037,-0.47368998628257897,-0.4033470507544582,-0.06288065843621399,0.0,-1.0,-1.0,-0.6118518518518519,-0.5659259259259259,0.0,0.0,0.0,-1.0,-1.0,-0.6118518518518519,-0.5659259259259259,0.0,0.0,0.0
-1.0,-0.7916444444444445,-0.7286758189300412,-0.4660847846364884,-0.3473992866941016,-0.25230239780521263,-0.08694825788751716,-1.0,-0.8713854595336077,-0.8325159376111366,-0.6038607122897933,-0.4277540618808109,-0.32050512625107963,-0.04830458771528731,-1.0,-1.0,-0.8315149519890261,-0.5659259259259259,-0.4347412894375858,0.0,0.0,-1.0,-1.0,-0.8315149519890261,-0.5659259259259259,-0.4347412894375858,0.0,0.0
